Distribution / Transmission,Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
DISTRIBUTION,ANDERSON 1101*,17/8/21 18:04,18/8/21 20:11,SHASTA,"Partially Outside HFTD, Tier 2",460,361,96,33,3
DISTRIBUTION,ANDERSON 1103*,17/8/21 18:50,18/8/21 20:40,SHASTA,"Partially Outside HFTD, Tier 2",68,63,2,7,3
DISTRIBUTION,ANTLER 1101*,17/8/21 18:21,18/8/21 17:19,SHASTA,"Partially Outside HFTD, Tier 3, Tier 2",346,307,32,30,7
DISTRIBUTION,ARBUCKLE 1101*,17/8/21 18:34,18/8/21 16:14,COLUSA,Outside HFTD,3,2,0,0,1
DISTRIBUTION,ARBUCKLE 1104*,17/8/21 18:33,18/8/21 16:45,"YOLO, COLUSA","Partially Outside HFTD, Tier 2",12,8,3,0,1
DISTRIBUTION,BIG BEND 1101,17/8/21 19:20,19/8/21 10:54,BUTTE,"Tier 3, Tier 2",259,233,24,19,2
DISTRIBUTION,BUCKS CREEK 1103,17/8/21 19:51,20/8/21 10:30,PLUMAS,"Partially Outside HFTD, Tier 3, Tier 2",316,265,51,4,0
DISTRIBUTION,BURNEY 1101*,17/8/21 17:32,18/8/21 11:40,SHASTA,"Partially Outside HFTD, Tier 3, Tier 2",131,100,25,16,6
DISTRIBUTION,BUTTE 1105*,17/8/21 19:00,18/8/21 14:25,BUTTE,Tier 3,53,51,2,3,0
DISTRIBUTION,CALISTOGA 1101*,17/8/21 18:40,18/8/21 19:56,"NAPA, SONOMA","Partially Outside HFTD, Tier 3, Tier 2",1603,1256,240,64,107
DISTRIBUTION,CALISTOGA 1102,17/8/21 19:15,18/8/21 20:35,NAPA,"Partially Outside HFTD, Tier 3, Tier 2",2076,1592,422,63,62
DISTRIBUTION,CALPINE 1144,17/8/21 20:00,19/8/21 09:11,"SONOMA, LAKE","Partially Outside HFTD, Tier 3, Tier 2",15,2,13,0,0
DISTRIBUTION,CALPINE 1146,17/8/21 20:00,19/8/21 09:11,"SONOMA, LAKE",Outside HFTD,0,0,0,0,0
DISTRIBUTION,CEDAR CREEK 1101,17/8/21 17:34,19/8/21 13:34,SHASTA,"Partially Outside HFTD, Tier 3, Tier 2",721,641,74,54,6
DISTRIBUTION,CLARK ROAD 1102*,17/8/21 19:06,19/8/21 10:11,BUTTE,"Partially Outside HFTD, Tier 3, Tier 2",490,428,55,50,7
DISTRIBUTION,CLOVERDALE 1102*,17/8/21 19:23,18/8/21 17:39,"SONOMA, MENDOCINO","Tier 3, Tier 2",70,46,9,7,15
DISTRIBUTION,CORNING 1101*,17/8/21 19:16,19/8/21 11:46,TEHAMA,"Partially Outside HFTD, Tier 2",840,772,65,101,3
DISTRIBUTION,CORNING 1102*,17/8/21 19:08,19/8/21 12:00,TEHAMA,"Partially Outside HFTD, Tier 2",286,228,48,13,10
DISTRIBUTION,CORTINA 1101*,17/8/21 18:42,18/8/21 17:22,COLUSA,Tier 2,8,4,4,1,0
DISTRIBUTION,COTTONWOOD 1101*,17/8/21 17:38,19/8/21 13:19,"SHASTA, TEHAMA","Partially Outside HFTD, Tier 2",895,831,46,75,18
DISTRIBUTION,COTTONWOOD 1102*,17/8/21 17:28,19/8/21 12:08,SHASTA,"Partially Outside HFTD, Tier 2",962,895,52,97,15
DISTRIBUTION,COTTONWOOD 1103*,17/8/21 17:29,19/8/21 13:04,"SHASTA, TEHAMA","Partially Outside HFTD, Tier 2",2435,2284,117,230,34
DISTRIBUTION,CRESCENT MILLS 2101*,17/8/21 18:52,18/8/21 11:26,PLUMAS,"Partially Outside HFTD, Tier 2",92,79,5,8,8
