Impacted Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
ALLEGHANY 1101,"1,043",881,160,11,2
ALLEGHANY 1102,151,127,24,3,0
ALPINE 1101,278,273,5,0,0
ALPINE 1102,303,269,34,1,0
ALTO 1120,"1,196",1152,44,17,0
ALTO 1125,"3,403",3296,105,40,2
ANDERSON 1101,"1,607",1405,197,113,5
ANDERSON 1102,"1,322",973,341,59,8
ANDERSON 1103,886,784,91,50,11
ANITA 1106,65,60,2,1,3
ANNAPOLIS 1101,219,162,47,5,10
APPLE HILL 1103,"1,256",1090,160,61,6
APPLE HILL 1104,"2,424",2244,170,118,10
APPLE HILL 2102,"4,382",4007,336,215,39
ARBUCKLE 1103,2,2,0,0,0
ARBUCKLE 1104,"1,135",818,150,40,167
ARCATA 1105,"4,005",3787,173,89,45
ARCATA 1106,"1,479",1278,178,28,23
ARCATA 1121,"2,701",2332,343,36,26
ARCATA 1122,"3,081",2701,351,77,29
ARCATA 1123,183,117,56,1,10
ARVIN 1101,412,328,34,7,50
AUBURN 1101,705,532,172,19,1
AUBURN 1102,"1,369",1183,183,28,3
BANGOR 1101,"2,299",2030,232,157,37
BASALT 1101,87,79,8,0,0
BASALT 1106,"3,289",2878,277,56,134
BEAR VALLEY 2105,771,681,88,41,2
BELL 1107,"1,420",1128,281,49,11
BELL 1108,"3,618",3308,289,165,21
BELL 1109,900,667,231,35,2
BELL 1110,"1,569",1058,501,69,10
BELLEVUE 2103,"1,103",895,144,27,64
BEN LOMOND 0401,743,680,62,42,1
BEN LOMOND 1101,726,698,27,37,1
BIG BASIN 1101,"2,339",2142,191,129,6
BIG BASIN 1102,"1,798",1653,141,99,4
BIG BEND 1101,191,168,21,10,2
BIG LAGOON 1101,144,125,15,2,4
BIG TREES 0402,858,804,54,41,0
BLUE LAKE 1101,77,33,26,1,18
BLUE LAKE 1102,"1,824",1606,208,60,10
BOLINAS 1101,"1,596",1420,172,21,4
BONNIE NOOK 1101,496,421,67,14,8
BONNIE NOOK 1102,520,452,61,15,7
BRIDGEVILLE 1101,86,72,11,3,3
BRIDGEVILLE 1102,263,221,27,9,15
BROWNS VALLEY 1101,570,495,68,36,7
BRUNSWICK 1102,"1,380",798,582,43,0
BRUNSWICK 1103,"3,199",2478,713,62,8
BRUNSWICK 1104,"2,522",2186,334,89,2
BRUNSWICK 1105,"3,666",3395,265,166,6
BRUNSWICK 1106,"4,475",4253,211,210,11
BRUNSWICK 1107,"2,442",2062,373,96,7
BRUNSWICK 1110,"3,307",2891,413,149,3
BRYANT 0401,184,155,29,5,0
BRYANT 0402,586,573,13,16,0
BUCKS CREEK 1101,4,0,3,0,1
BUCKS CREEK 1102,124,55,67,3,2
BUCKS CREEK 1103,313,263,50,1,0
BURNS 2101,28,28,0,1,0
BUTTE 1105,"1,022",597,414,27,11
"CALAVERAS CEMENT1101","3,289",2745,519,172,25
CALISTOGA 1101,"1,566",1230,237,25,99
CALISTOGA 1102,"2,117",1623,427,30,67
CALPELLA 1101,"1,261",1067,174,46,20
CALWATER 1102,"2,357",2157,185,212,15
CAMP EVERS 2103,"3,109",2881,206,170,22
CAMP EVERS 2104,"1,623",1525,96,83,2
CAMP EVERS 2105,"3,648",3426,220,215,2
