circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_population
APPLE HILL-1103,2018-10-14 21:00:00,2018-10-15 16:29:00.000000000,1169.0,"Camino, Placerville",3.0,1809.0,1488.0,95709,-120.677165094886,38.7396829674102,True,5634.0
APPLE HILL-1104,2018-10-14 21:17:00,2018-10-15 18:37:00.000000000,1280.0,"Camino, Placerville, Pollock Pines,",3.0,2261.0,2043.0,95709,-120.677165094886,38.7396829674102,True,5634.0
APPLE HILL-2102,2018-10-14 21:05:00,2018-10-16 18:04:00.000000000,2699.0,"Camino, Grizzly Flats, Mount Aukum, Placerville, Pollock Pines, Somerset",3.0,4489.0,4013.0,95709,-120.677165094886,38.7396829674102,True,5634.0
BONNIE NOOK-1102,2018-10-14 21:54:00,2018-10-15 18:04:00.000000000,1210.0,Alta,3.0,533.0,454.0,95701,-120.809292450506,39.2147078693068,True,1064.0
CALISTOGA-1101,2018-10-14 20:34:00,2018-10-15 21:27:00.000000000,1493.0,Calistoga,3.0,1596.0,1216.0,94515,-122.578610444001,38.592088042243,True,7525.0
CALISTOGA-1102,2018-10-14 20:34:00,2018-10-16 17:37:00.000000000,2703.0,Calistoga,3.0,2132.0,1600.0,94515,-122.578610444001,38.592088042243,True,7525.0
CLEAR LAKE-1101,2018-10-14 20:30:00,2018-10-15 16:13:00.000000000,1183.0,"Kelseyville, Lakeport, Finley",3.0,491.0,300.0,95453,-122.894000771299,39.0077675085857,True,11209.0
DIAMONDSPRINGS-1103,2018-10-14 21:25:00,2018-10-15 15:11:00.000000000,1066.0,"Diamond Springs, Placerville",3.0,2224.0,1779.0,95667,-120.825894807298,38.6934122861058,True,35452.0
DIAMONDSPRINGS-1104,2018-10-14 21:20:00,2018-10-15 14:47:00.000000000,1047.0,"Diamond Springs, El Dorado, Placerville",3.0,1014.0,934.0,95667,-120.825894807298,38.6934122861058,True,35452.0
DIAMONDSPRINGS-1107,2018-10-14 21:35:00,2018-10-15 16:32:00.000000000,1137.0,"Placerville, Shingle Springs",3.0,1844.0,1443.0,95667,-120.825894807298,38.6934122861058,True,35452.0
EL DORADO PH-2101,2018-10-14 21:04:00,2018-10-15 17:30:00.000000000,1226.0,"Grizzly Flats, Kyburz, Placerville, Pollock Pines, Somerset, Twin Bridges",3.0,4198.0,3892.0,95726,-120.621921461011,38.7956054290149,True,8207.0
