Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT)
"ALHAMBRA
1105*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:25,"MARTINEZ,
RODEO",10/28/2019 20:40
ALLEGHANY 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:24,"SIERRA CITY,
DOWNIEVILLE,
ALLEGHANY,
GOODYEARS
BAR",10/31/2019 16:05
"ALLEGHANY
1102",TIER 3,10/26/2019 18:24,"WASHINGTON,
ALLEGHANY",11/1/19 16:21
ALPINE 1101,NON-HFTD,10/26/2019 17:41,"BEAR VALLEY,
ANGELS CAMP",10/30/2019 15:41
ALPINE 1102,NON-HFTD,10/26/2019 17:41,"BEAR VALLEY,
ANGELS CAMP",10/30/2019 15:40
ALTO 1120,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:25,MILL VALLEY,10/29/2019 19:10
ALTO 1121,NON-HFTD,10/26/2019 20:25,"BELVEDERE,
MILL VALLEY,
TIBURON",10/29/2019 18:07
ALTO 1122,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:04,"CORTE MADERA,
LARKSPUR,
MILL VALLEY",10/29/2019 13:44
ALTO 1123,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:25,"TIBURON, MILL
VALLEY,
BELVEDERE",10/29/2019 20:26
ALTO 1124,"TIER 3,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:01,MILL VALLEY,10/30/2019 15:27
ALTO 1125,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:57,"MILL VALLEY,
MUIR BEACH",10/31/2019 13:12
ANDERSON 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:01,"ANDERSON,
COTTONWOOD",10/29/2019 18:17
ANDERSON 1102,NON-HFTD,10/26/2019 17:03,ANDERSON,10/28/2019 11:52
ANDERSON 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:00,"ANDERSON,
REDDING",10/30/2019 09:28
ANITA 1106*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:13,CHICO,10/27/2019 17:45
ANNAPOLIS 1101,TIER 2,10/26/2019 19:50,"ANNAPOLIS,
STEWARTS
POINT",10/30/2019 10:49
ANTLER 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:39,LAKEHEAD,10/30/2019 18:43
APPLE HILL 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:04,"PLACERVILLE,
CAMINO",10/30/2019 16:49
APPLE HILL 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:04,"CAMINO,
PLACERVILLE,
POLLOCK PINES",10/31/2019 09:14
APPLE HILL 2102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:04,"SOMERSET,
PLACERVILLE,
MOUNT AUKUM,
CAMINO,
POLLOCK PINES,
GRIZZLY FLATS,
FAIR PLAY",10/31/2019 15:31
ARBUCKLE 1104*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:54,ARBUCKLE,10/29/2019 11:08
ARCATA 1105,NON-HFTD,10/26/2019 22:25,"MCKINLEYVILLE
, ARCATA",10/28/2019 16:24
ARCATA 1106,NON-HFTD,10/26/2019 22:18,ARCATA,10/28/2019 14:41
ARCATA 1121,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:25,ARCATA,10/28/2019 14:45
ARCATA 1122,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:25,"ARCATA,
BAYSIDE,
EUREKA,
KNEELAND",10/28/2019 13:55
ARCATA 1123,NON-HFTD,10/26/2019 22:25,ARCATA,10/28/2019 14:05
"ARLINGTON
0401*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:14,BERKELEY,10/28/2019 16:53
AUBERRY 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 14:33,"AUBERRY,
TOLLHOUSE,
SHAVER LAKE,
CLOVIS,
PRATHER,
SANGER",10/29/2019 14:08
AUBERRY 1102*,TIER 2,10/27/2019 13:33,"PRATHER,
AUBERRY,
CLOVIS,
TOLLHOUSE",10/28/2019 16:02
AUBURN 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:57,AUBURN,10/30/2019 10:37
AUBURN 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:57,AUBURN,10/30/2019 10:38
BANGOR 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:30,"MARYSVILLE,
BANGOR,
OREGON
HOUSE,
BROWNS
VALLEY,
RACKERBY,
OROVILLE,
DOBBINS,
BROWNSVILLE,
LOMA RICA",10/30/2019 16:05
BASALT 1106*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:03,NAPA,10/30/2019 14:02
"BAY MEADOWS
2102*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:43,"HILLSBOROUGH
, SAN MATEO",10/28/2019 15:02
"BEAR VALLEY
2101","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 13:57,"CATHEYS
VALLEY,
MARIPOSA,
HORNITOS",10/29/2019 13:41
"BEAR VALLEY
2105","TIER 3, TIER 2",10/27/2019 00:40,"COULTERVILLE,
GREELEY HILL",10/29/2019 14:08
BELL 1107*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:11,AUBURN,10/30/2019 10:58
BELL 1108*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:23,AUBURN,10/30/2019 12:42
BELL 1109*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:14,AUBURN,10/30/2019 11:10
BELL 1110*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:00,AUBURN,10/30/2019 12:41
BELLEVUE 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:04,"SANTA ROSA,
COTATI",10/29/2019 16:54
BELLEVUE 2103*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:09,SANTA ROSA,10/28/2019 19:58
BELMONT 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:42,"BELMONT, SAN
CARLOS",10/28/2019 15:10
BELMONT 1110*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:08,BELMONT,10/28/2019 08:38
"BEN LOMOND
0401",TIER 3,10/26/2019 20:37,"BEN LOMOND,
FELTON",10/29/2019 12:45
"BEN LOMOND
1101",TIER 3,10/26/2019 20:37,"BROOKDALE,
BOULDER
CREEK, BEN
LOMOND",10/29/2019 11:28
"BERESFORD
0403*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:15,"HILLSBOROUGH
, SAN MATEO",10/28/2019 13:51
BIG BASIN 1101,TIER 3,10/26/2019 21:16,"BOULDER
CREEK, SANTA
CRUZ",10/30/2019 21:51
BIG BASIN 1102,"TIER 3, TIER 2",10/26/2019 21:16,"BOULDER
CREEK, LOS
GATOS",10/30/2019 12:30
BIG BEND 1101,"TIER 3, TIER 2",10/26/2019 17:00,OROVILLE,10/30/2019 17:56
BIG BEND 1102,"TIER 3,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:00,"BERRY CREEK,
BRUSH CREEK",10/30/2019 15:32
"BIG LAGOON
1101",NON-HFTD,10/26/2019 22:20,TRINIDAD,10/28/2019 15:23
BIG RIVER 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:44,"MENDOCINO,
LITTLE RIVER,
CASPAR, FORT
BRAGG",10/30/2019 18:01
BIG TREES 0402*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:39,"FELTON, SANTA
CRUZ",10/28/2019 18:14
BLUE LAKE 1101,NON-HFTD,10/26/2019 22:24,"KORBEL, BLUE
LAKE",10/28/2019 13:49
BLUE LAKE 1102,NON-HFTD,10/26/2019 22:24,"BLUE LAKE,
ARCATA,
MCKINLEYVILLE
, FIELDBROOK",10/28/2019 13:51
BOLINAS 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:25,"STINSON
BEACH,
BOLINAS,
FAIRFAX",10/29/2019 18:08
"BONNIE NOOK
1101",TIER 3,10/26/2019 19:01,"DUTCH FLAT,
GOLD RUN,
ALTA, COLFAX",10/31/2019 11:12
"BONNIE NOOK
1102",TIER 3,10/26/2019 19:01,"ALTA, BAXTER",10/30/2019 17:30
BOSTON 0401*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 23:14,OAKLAND,10/29/2019 11:11
"BRENTWOOD
SUB 2105*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:11,"BYRON,
BRENTWOOD",10/29/2019 16:22
"BRIDGEVILLE
1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:17,BRIDGEVILLE,10/28/2019 13:30
"BRIDGEVILLE
1102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:22,"CARLOTTA,
BRIDGEVILLE,
BLOCKSBURG",10/29/2019 06:41
