Impacted Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
BIG BEND 1101,191,168,21,10,2
BIG BEND 1102,368,326,36,16,6
BUCKS CREEK 1101,4,0,3,0,1
BUTTE 1105,230,209,19,10,2
CLARK ROAD 1101,15,0,15,0,0
CLARK ROAD 11024,"1,053",910,121,64,22
KANAKA 1101,609,552,50,33,7
NOTRE DAME 1104,303,264,36,11,3
ORO FINO 1101,"2,277","2,204",71,223,2
ORO FINO 1102,"1,948","1,813",123,102,12
PARADISE 1103,833,592,240,35,1
PARADISE 1104,791,653,138,53,0
PARADISE 1105,"1,020",797,222,54,1
PARADISE 1106,289,229,60,9,0
SYCAMORE CREEK 1111,578,516,55,20,7
WYANDOTTE 1103,770,698,66,51,6
WYANDOTTE 1105,330,319,10,39,1
